Card UID,,,,,,,,Psw,,,,,PAK,
4,6C,64,2A,B4,42,80,,8A,4E,27,6C,,8B,1E
4,4C,C1,22,9A,3D,80,,96,5B,5D,8E,,8F,68
4,2E,9A,E2,CE,4F,80,,A9,6,19,22,,F9,6D
4,0D,38,22,97,3C,81,,C4,59,12,41,,AD,6B
4,7E,B9,2A,97,3C,81,,28,E6,97,5A,,F0,66
4,BD,5D,22,97,3C,80,,81,7B,E8,C1,,11,7E
4,67,61,AA,ED,44,80,,0C,42,60,69,,C6,7D
4,1,27,22,97,3C,81,,A9,5A,BF,A6,,CC,68
4,5F,58,22,97,3C,80,,F0,A7,A9,C3,,D5,6F
4,DC,8,22,9A,3D,84,,EA,E5,66,67,,21,7F
4,BD,35,2A,9A,3D,80,,8A,63,DF,35,,,
4,FB,0F,92,12,4A,80,,29,3E,49,5F,,D3,60
4,1F,B6,22,97,3D,81,,FB,42,AB,28,,CB,6E
4,0D,94,8A,3E,4D,81,,69,FD,F8,A5,,8F,65
4,16,BB,2A,97,3C,81,,D7,B7,B9,37,,1A,64
4,2F,52,22,97,3C,80,,33,6C,4,92,,1A,64
4,77,A8,22,9A,3D,80,,3B,90,17,BA,,,
4,0D,1C,32,B4,42,81,,B8,9A,8F,2D,,D8,78
4,ED,76,AA,ED,44,80,,C7,6D,2D,29,,B2,65
4,85,1E,92,A2,40,80,,D7,46,4A,ED,,DA,14
4,8E,A5,22,9A,3D,81,,11,1B,A1,2F,,21,62
4,3D,54,32,B4,42,81,,28,3,B0,BD,,23,64
4,B5,C3,22,9A,3D,80,,8F,F3,85,EF,,21,62
